Acc mean,Acc std,New observation,Normality,Time
0.9067346938775509,0.020460137898252125,0.8979591836734694,True,2013-04-04 22:16:59
0.9061224489795916,0.01978644839761766,0.8979591836734694,True,2013-04-05 16:04:47
0.9055102040816325,0.019069351062307435,0.8979591836734694,True,2013-04-08 16:37:22
0.9048979591836732,0.01830374475492135,0.8979591836734694,True,2013-04-08 19:32:58
0.9042857142857141,0.017483257892593754,0.8979591836734694,True,2013-04-08 21:30:57
0.9036734693877548,0.016599754618500204,0.8979591836734694,True,2013-04-08 22:08:34
0.9030612244897958,0.015642560935465184,0.8979591836734694,True,2013-04-09 17:15:53
0.9024489795918365,0.014597187544691964,0.8979591836734694,True,2013-04-09 18:50:05
0.9018367346938774,0.013443078820713838,0.8979591836734694,True,2013-04-09 23:43:42
0.9012244897959181,0.01214928658460181,0.8775510204081632,False,2013-04-11 22:05:30
0.900408163265306,0.010906440176234603,0.8775510204081632,False,2013-04-15 17:05:33
0.8995918367346937,0.00943201633329906,0.8775510204081632,False,2013-04-15 17:06:52
0.8987755102040816,0.007592275607240121,0.8775510204081632,False,2013-04-18 21:32:29
0.8981632653061224,0.0067655446752044055,0.8775510204081632,False,2013-04-22 20:04:53
0.8975510204081633,0.005757851420271796,0.8775510204081632,False,2013-04-25 07:00:00
0.8971428571428571,0.00571428571428572,0.8775510204081632,False,2013-04-25 17:05:40
0.8967346938775509,0.0056409285555450075,0.8775510204081632,False,2013-04-25 19:21:02
0.8963265306122449,0.005536595904592062,0.8775510204081632,False,2013-04-26 18:46:37
0.8961224489795917,0.005840444090307837,0.8775510204081632,False,2013-05-02 07:00:00
0.8959183673469387,0.006122448979591843,0.8775510204081632,False,2013-05-02 07:00:00
0.8957142857142856,0.006385505243739605,0.8775510204081632,False,2013-05-02 07:00:00
0.8955102040816325,0.006631868085417118,0.578125,False,2013-05-03 07:00:00
0.8923118622448979,0.032264934317099585,0.578125,False,2013-05-13 07:00:00
0.8891135204081632,0.04491783073192551,0.578125,False,2013-05-13 07:00:00
0.8859151785714284,0.05453199306671139,0.578125,False,2013-05-13 07:00:00
0.8827168367346937,0.06252524479747833,0.578125,False,2013-05-14 07:00:00
0.8795184948979591,0.0694594516616141,0.578125,False,2013-05-14 07:00:00
0.8763201530612243,0.0756264889590308,0.578125,False,2013-05-16 07:00:00
0.8731218112244897,0.08120133901851309,0.578125,False,2013-05-16 07:00:00
0.869923469387755,0.0862988430022058,0.578125,False,2013-05-16 07:00:00
0.8667251275510202,0.09099925476414641,0.578125,False,2013-05-16 07:00:00
0.8635267857142855,0.09536131107913454,0.578125,False,2013-05-23 07:00:00
0.8603284438775509,0.09942955371932277,0.578125,False,2013-05-23 07:00:00
0.8571301020408163,0.10323872274445622,0.578125,False,2013-05-23 07:00:00
0.8539317602040815,0.10681653811082113,0.578125,False,2013-05-23 07:00:00
0.8507334183673468,0.11018553885626318,0.578125,False,2013-05-23 07:00:00
0.8475350765306121,0.1133643433849482,0.578125,False,2013-05-23 07:00:00
0.8443367346938774,0.1163685393400923,0.578125,False,2013-05-23 07:00:00
0.8411383928571428,0.1192113281705373,0.5625,False,2013-05-23 07:00:00
0.8377838010204082,0.12224645187015715,0.5625,False,2013-05-24 07:00:00
0.8344292091836734,0.12511811480644824,0.5625,False,2013-05-27 07:00:00
0.8310746173469387,0.12783733311444792,0.5625,False,2013-05-30 07:00:00
0.8277200255102041,0.13041364288343033,0.5625,False,2013-05-30 07:00:00
0.8243654336734693,0.13285535815185365,0.5625,False,2013-06-03 07:00:00
0.8210108418367347,0.13516977308705352,0.5625,False,2013-06-05 07:00:00
0.81765625,0.1373633224349629,0.2755102040816326,False,2013-06-06 07:00:00
0.8114317602040816,0.14732506852751046,0.2755102040816326,False,2013-06-06 07:00:00
0.8052072704081631,0.15640709937998568,0.2755102040816326,False,2013-06-07 07:00:00
0.7989827806122447,0.1647549608049688,0.2755102040816326,False,2013-06-10 07:00:00
0.7927582908163262,0.17247528790175687,0.2755102040816326,False,2013-06-13 07:00:00
0.7865338010204078,0.17964900282857693,0.2755102040816326,False,2013-06-13 07:00:00
0.7803093112244894,0.18633924694323303,0.2755102040816326,False,2013-06-17 07:00:00
0.7740848214285712,0.19259640998471733,0.2755102040816326,False,2013-06-20 07:00:00
0.7678603316326528,0.19846145918085079,0.2755102040816326,False,2013-06-20 07:00:00
0.7616358418367344,0.20396822270869716,0.2755102040816326,False,2013-06-20 07:00:00
0.755411352040816,0.20914500334279537,0.2755102040816326,False,2013-06-20 07:00:00
0.7491868622448976,0.2140157480774069,0.2755102040816326,False,2013-06-20 07:00:00
0.7429623724489792,0.21860091463799353,0.2755102040816326,False,2013-06-24 07:00:00
0.7367378826530608,0.22291812575374756,0.2755102040816326,False,2013-06-25 07:00:00
0.7305133928571425,0.22698267147983098,0.2755102040816326,False,2013-06-25 07:00:00
0.7242889030612241,0.23080790057586667,0.2755102040816326,False,2013-06-27 07:00:00
0.7180644132653058,0.23440552945252474,0.2755102040816326,False,2013-07-01 07:00:00
0.7118399234693875,0.2377858889025141,0.2755102040816326,False,2013-07-01 07:00:00
0.705615433673469,0.2409581232039296,0.2755102040816326,False,2013-07-04 07:00:00
0.6993909438775506,0.24393035228999785,0.2857142857142857,False,2013-07-04 07:00:00
0.693268494897959,0.24653908960517704,0.2857142857142857,False,2013-07-04 07:00:00
0.6871460459183674,0.2489699979422444,0.2857142857142857,False,2013-07-05 07:00:00
0.6810235969387756,0.25122823942454686,0.2857142857142857,False,2013-07-08 07:00:00
0.6749011479591839,0.253318431880387,0.2857142857142857,False,2013-07-08 07:00:00
0.668778698979592,0.25524470379089886,0.2857142857142857,False,2013-07-11 07:00:00
0.6626562500000002,0.25701074089083076,0.2857142857142857,False,2013-07-15 07:00:00
0.6565338010204084,0.25861982578717424,0.2857142857142857,False,2013-07-15 07:00:00
0.6504113520408166,0.260074871689111,0.2857142857142857,False,2013-07-15 07:00:00
0.6442889030612245,0.2613784511297963,0.2857142857142857,False,2013-07-17 07:00:00
0.6381664540816325,0.2625328203918506,0.2857142857142857,False,2013-07-17 07:00:00
0.6320440051020406,0.2635399402135712,0.2857142857142857,False,2013-07-18 07:00:00
0.6259215561224489,0.26440149324394946,0.2857142857142857,False,2013-07-26 07:00:00
0.6197991071428571,0.26511889862564003,0.2857142857142857,False,2013-07-31 07:00:00
0.6136766581632652,0.2656933240115361,0.2857142857142857,False,2013-07-31 07:00:00
0.6075542091836733,0.2661256952590457,0.2857142857142857,False,2013-07-31 07:00:00
0.6014317602040815,0.2664167039937744,0.2857142857142857,False,2013-08-07 07:00:00
0.5953093112244897,0.26656681318890185,0.2857142857142857,False,2013-08-07 07:00:00
0.5891868622448979,0.2665762608662894,0.2857142857142857,False,2013-08-12 07:00:00
0.583064413265306,0.26644506198877405,0.2857142857142857,False,2013-08-15 07:00:00
0.5769419642857142,0.2661730085788864,0.2857142857142857,False,2013-08-15 07:00:00
0.5708195153061223,0.2657596680661963,0.2857142857142857,False,2013-08-15 07:00:00
0.5646970663265304,0.2652043798325326,0.2857142857142857,False,2013-08-15 07:00:00
0.5585746173469386,0.2645062498903311,0.2857142857142857,False,2013-08-15 07:00:00
0.5524521683673469,0.2636641435931685,0.2857142857142857,False,2013-08-19 07:00:00
0.546329719387755,0.2626766762378726,0.2857142857142857,True,2013-08-19 07:00:00
0.5402072704081631,0.26154220137296774,0.2857142857142857,True,2013-08-19 07:00:00
0.5340848214285713,0.2602587965768773,0.2857142857142857,True,2013-08-22 07:00:00
0.5279623724489795,0.2588242464091326,0.2857142857142857,True,2013-08-22 07:00:00
0.5218399234693877,0.2572360221661246,0.2857142857142857,True,2013-08-27 07:00:00
0.5157174744897958,0.25549125798631767,0.2857142857142857,True,2013-08-27 07:00:00
0.509595025510204,0.2535867227439085,0.2857142857142857,True,2013-08-29 07:00:00
0.5034725765306121,0.25151878703895114,0.2857142857142857,True,2013-08-29 07:00:00
0.49735012755102026,0.24928338442840356,0.2857142857142857,True,2013-09-03 07:00:00
0.49122767857142846,0.2468759658362833,0.29591836734693877,True,2013-09-04 07:00:00
0.48520727040816314,0.24421025631866808,0.29591836734693877,True,2013-09-05 07:00:00
0.47918686224489776,0.241365004600826,0.29591836734693877,True,2013-09-09 07:00:00
0.47316645408163255,0.23833378059305682,0.29591836734693877,True,2013-09-09 07:00:00
0.46714604591836717,0.23510939128137204,0.29591836734693877,True,2013-09-12 07:00:00
0.46112563775510185,0.23168377184583,0.29591836734693877,True,2013-09-12 07:00:00
0.4551052295918365,0.22804785413552864,0.29591836734693877,True,2013-09-13 07:00:00
0.44908482142857126,0.22419140658380154,0.29591836734693877,True,2013-09-13 07:00:00
0.44306441326530593,0.22010283770847403,0.29591836734693877,True,2013-09-16 07:00:00
0.43704400510204067,0.21576895263155377,0.29591836734693877,True,2013-09-16 07:00:00
0.4310235969387753,0.21117464820192763,0.29591836734693877,True,2013-09-19 07:00:00
0.42500318877551,0.20630252673632843,0.29591836734693877,True,2013-09-19 07:00:00
0.4191868622448978,0.20160738179828902,0.29591836734693877,True,2013-09-19 07:00:00
